,AAPL,MSFT,AMZN,FB,GOOGL,GOOG,BRK.B,TSLA,NVDA,JPM,V,PYPL,HD,PG,MA,DIS,BAC,ADBE,XOM,CMCSA,NFLX,VZ,INTC,CRM,CSCO,KO,T,PEP,CVX,AVGO,NKE,WMT,ACN,WFC,TXN,COST,MCD,QCOM,PM,HON,LIN,UPS,UNP,C,NEE,ORCL,LOW,MS,INTU,BA,SBUX,IBM,GS,AMAT,RTX,AMT,BLK,TGT,CAT,GE,MMM,AMD,DE,SCHW,AXP,NOW,CHTR,SPGI,MU,LMT,LRCX,PLD,FIS,MO,MDLZ,BKNG,CCI,ADP,TMUS,COP,PNC,TJX,USB,CME,DUK,GM,EQIX,EL,TFC,ATVI,CSX,FDX,CB,MMC,COF,CL,ICE,NSC,SHW,ITW,FISV,ADSK,SO,ADI,APD,MCO,D,ETN,F,Cash,NXPI,EMR,PGR,GPN,TWTR,WM,FCX,AON,NOC,ECL,ROP,DG,KLAC,NEM,JCI,CMG,EOG,PSA,DOW,MSCI,TEL,EBAY,KMB,TROW,TT,ROST,SLB,MET,LHX,SNPS,APTV,EXC,SPG,GD,SRE,DLR,INFO,AEP,EA,BK,DD,PPG,MCHP,PRU,PH,APH,AIG,STZ,ORLY,ALL,CARR,SYY,MPC,CDNS,PXD,TRV,WBA,IFF,MSI,GIS,PSX,MAR,CTSH,CMI,XLNX,HPQ,DFS,KMI,TDG,XEL,AZO,SBAC,WELL,PAYX,MNST,YUM,HLT,FRC,SWK,ADM,AFL,ROK,CTAS,OTIS,CTVA,WMB,VLO,FTNT,GLW,SWKS,AME,EFX,CBRE,AVB,NUE,n/a,KR,SIVB,STT,FAST,AMP,ZBRA,PEG,AWK,VRSK,ANSS,KEYS,WLTW,MTCH,SUM
08/13/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/16/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/17/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/18/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/19/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/20/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/23/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/24/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/25/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/26/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/27/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/30/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
08/31/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
09/01/2021,7.08,6.65,4.42,2.65,2.54,2.42,1.63,1.64,1.51,1.42,1.29,1.0,1.08,1.08,1.05,0.99,0.89,0.93,0.75,0.83,0.71,0.71,0.67,0.72,0.72,0.68,0.62,0.67,0.61,0.62,0.66,0.61,0.63,0.59,0.54,0.59,0.56,0.52,0.48,0.5,0.5,0.43,0.45,0.43,0.47,0.49,0.42,0.44,0.45,0.39,0.44,0.39,0.4,0.4,0.41,0.4,0.38,0.4,0.35,0.35,0.36,0.4,0.35,0.32,0.35,0.35,0.32,0.32,0.27,0.28,0.28,0.29,0.29,0.27,0.28,0.26,0.26,0.28,0.26,0.23,0.24,0.26,0.23,0.24,0.25,0.22,0.24,0.24,0.22,0.2,0.23,0.21,0.24,0.23,0.23,0.21,0.21,0.2,0.22,0.2,0.21,0.22,0.21,0.19,0.2,0.19,0.19,0.19,0.17,0.0,0.18,0.19,0.17,0.18,0.17,0.18,0.17,0.18,0.17,0.17,0.17,0.17,0.17,0.15,0.16,0.18,0.13,0.15,0.14,0.16,0.15,0.14,0.14,0.14,0.15,0.14,0.12,0.13,0.14,0.14,0.14,0.14,0.13,0.14,0.13,0.13,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.13,0.12,0.14,0.12,0.11,0.13,0.11,0.12,0.1,0.12,0.12,0.11,0.0,0.12,0.12,0.11,0.12,0.11,0.12,0.1,0.11,0.11,0.12,0.12,0.11,0.11,0.11,0.12,0.11,0.11,0.1,0.1,0.11,0.11,0.1,0.11,0.0,0.0,0.0,0.11,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.93
