,JPM,MSFT,JNJ,WMT,UNH,V,HD,PG,CMCSA,KO,ORCL,ABT,PEP,AVGO,MRK,ACN,TXN,MCD,NKE,MDT,COST,HON,UPS,QCOM,UNP,BMY,NEE,LOW,RTX,SBUX,BLK,CAT,TGT,LMT,SYK,SPGI,ADP,PNC,CME,CB,CSX,SHW,ATVI,ITW,CL,MMC,BDX,APD,MCO,ECL,NOC,ADI,WM,ETN,EMR,GD,KLAC,ROP,LHX,BK,TEL,TT,TROW,PPG,MCHP,SYY,ALL,TRV,AFL,XEL,CMI,ADM,GLW,CTAS,PAYX,HPQ,DFS,IFF,SWK,RSG,VFC,ROK,MCK,STT,NUE,FAST,AMP,BBY,WEC,AJG,AWK,ES,HRL,WST,HSY,BF.B,GWW,ABC,CLX,MKC,KR,DOV,EXPD,TSCO,CHD,CINF,ALB,GPC,CE,BR,AVY,RJF,CMS,JBHT,MKTX,POOL,EMN,IEX,STE,WHR,BRO,SJM,LNT,PKG,WRB,SNA,LII,HAS,WSM,CHRW,WLK,NDSN,GGG,ATO,FDS,GL,RPM,SMG,TTC,CBOE,WTRG,JKHY,AFG,RS,HUBB,CSL,MORN,RHI,AOS,ATR,AIZ,LAD,ERIE,SEIC,CBSH,SCI,GNTX,RGA,PII,CASY,ITT,RGLD,CHE,DCI,RNR,CHDN,LECO,HEI,HRC,FFIN,PB,THO,SON,MAN,MSA,LFUS,PRI,BOKF,PRGO,EVR,RBC,ASH,LANC,THG,RLI,UMBF,SLGN,ENSG,HOMB,CBU,KWR,BCPC,FELE,AIT,SXT,FUL,NSP,CNS,GATX,WOR,PTBL.TA,WDFC,HI,1379.T,SAR.AX,DDS,n/a,LIN,MMM,TFC,KMB,FITB,CAH,LNC,PNR,ALLE,UGI,ROL,HEI.A,CFR,RRX,MDU,INGR,OZK,WBS,SUM
08/12/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/13/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/16/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/17/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/18/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/19/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/20/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/23/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.04,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/24/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/25/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/26/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/27/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/30/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
08/31/2021,3.8,4.19,3.67,3.38,3.22,3.22,2.91,2.82,2.21,1.98,1.94,1.74,1.73,1.65,1.67,1.65,1.5,1.46,1.67,1.42,1.49,1.29,1.27,1.38,1.25,1.27,1.22,1.21,1.1,1.12,1.13,1.01,1.03,0.9,0.83,0.84,0.72,0.69,0.65,0.61,0.62,0.62,0.63,0.6,0.59,0.61,0.6,0.54,0.57,0.5,0.51,0.54,0.5,0.5,0.49,0.46,0.42,0.42,0.39,0.38,0.38,0.37,0.38,0.34,0.34,0.34,0.33,0.32,0.31,0.3,0.31,0.29,0.3,0.34,0.33,0.32,0.31,0.31,0.28,0.3,0.27,0.28,0.26,0.25,0.24,0.25,0.25,0.25,0.24,0.23,0.24,0.23,0.22,0.23,0.22,0.2,0.19,0.2,0.19,0.19,0.19,0.18,0.18,0.18,0.18,0.16,0.17,0.15,0.15,0.16,0.15,0.15,0.14,0.15,0.15,0.16,0.13,0.14,0.15,0.12,0.13,0.12,0.12,0.11,0.11,0.1,0.11,0.11,0.1,0.11,0.1,0.11,0.11,0.1,0.11,0.09,0.1,0.09,0.1,0.11,0.1,0.11,0.09,0.08,0.09,0.09,0.09,0.09,0.08,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.06,0.05,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.0,0.03,0.03,0.0,0.0,0.0,0.03,0.03,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.29000000000002
